Wavelength	 Transmission
615.5	5.36E-08
616	4.27E-09
616.5	2.84E-08
617	5.25E-08
617.5	2.29E-08
618	1.00E-10
618.5	1.00E-10
619	1.00E-10
619.5	1.00E-10
620	1.00E-10
620.5	1.00E-10
621	1.00E-10
621.5	1.00E-10
622	1.00E-10
622.5	1.00E-10
623	1.00E-10
623.5	1.00E-10
624	1.00E-10
624.5	1.00E-10
625	1.00E-10
625.5	1.00E-10
626	1.00E-10
626.5	1.00E-10
627	1.00E-10
627.5	1.00E-10
628	1.00E-10
628.5	1.00E-10
629	1.00E-10
629.5	1.00E-10
630	1.02E-08
630.5	1.00E-10
631	1.00E-10
631.5	1.00E-10
632	1.00E-10
632.5	1.00E-10
633	1.00E-10
633.5	1.00E-10
634	1.00E-10
634.5	1.00E-10
635	1.00E-10
635.5	1.00E-10
636	1.00E-10
636.5	1.00E-10
637	1.00E-10
637.5	1.00E-10
638	1.00E-10
638.5	1.00E-10
639	1.00E-10
639.5	1.00E-10
640	1.00E-10
640.5	1.00E-10
641	1.00E-10
641.5	1.00E-10
642	1.00E-10
642.5	1.00E-10
643	1.02E-07
643.5	9.51E-06
644	1.89E-05
644.5	1.39E-05
645	8.88E-06
645.5	4.46E-06
646	5.16E-08
646.5	9.34E-08
647	1.35E-07
647.5	2.54E-07
648	3.73E-07
648.5	6.49E-06
649	1.26E-05
649.5	5.32E-05
650	9.37E-05
650.5	5.12E-05
651	8.74E-06
651.5	5.36E-06
652	1.97E-06
652.5	2.28E-06
653	2.58E-06
653.5	6.46E-06
654	1.03E-05
654.5	6.04E-05
655	0.000110436
655.5	7.33E-05
656	3.62E-05
656.5	1.96E-05
657	3.06E-06
657.5	2.20E-06
658	1.33E-06
658.5	1.41E-06
659	1.48E-06
659.5	1.69E-06
660	1.91E-06
660.5	3.90E-06
661	5.88E-06
661.5	2.76E-05
662	4.94E-05
662.5	4.40E-05
663	3.86E-05
663.5	2.11E-05
664	3.59E-06
664.5	2.57E-06
665	1.55E-06
665.5	1.32E-06
666	1.09E-06
666.5	8.82E-07
667	6.68E-07
667.5	1.11E-06
668	1.55E-06
668.5	2.67E-06
669	3.78E-06
669.5	1.50E-05
670	2.62E-05
670.5	2.38E-05
671	2.13E-05
671.5	1.14E-05
672	1.49E-06
672.5	9.47E-07
673	4.01E-07
673.5	2.64E-07
674	1.28E-07
674.5	2.60E-07
675	3.92E-07
675.5	1.97E-07
676	1.16E-09
676.5	3.72E-08
677	7.33E-08
677.5	9.23E-08
678	1.11E-07
678.5	2.81E-07
679	4.51E-07
679.5	3.79E-07
680	3.07E-07
680.5	1.60E-07
