Wavelength (nm)	%T
994	0.113851748
993.5	0.113654099
993	0.11396087
992.5	0.115144111
992	0.118383683
991.5	0.121637501
991	0.12622042
990.5	0.13138251
990	0.138529509
989.5	0.146983624
989	0.156027928
988.5	0.166157156
988	0.177984029
987.5	0.187946215
987	0.198389024
986.5	0.206325829
986	0.209249839
985.5	0.20608446
985	0.194632754
984.5	0.178745225
984	0.159725457
983.5	0.138637126
983	0.117475927
982.5	0.099860758
982	0.083784506
981.5	0.071715876
981	0.061975066
980.5	0.051507749
980	0.047492683
979.5	0.040815014
979	0.036716085
978.5	0.0345507
978	0.031333335
977.5	0.030145412
977	0.029062212
976.5	0.027605042
976	0.027472546
975.5	0.024681434
975	0.02610833
974.5	0.026974211
974	0.02584373
973.5	0.027560413
973	0.026306039
972.5	0.025854105
972	0.024715247
971.5	0.022480832
971	0.020825055
970.5	0.018355755
970	0.015597988
969.5	0.013145072
969	0.010165238
968.5	0.009284685
968	0.007494313
967.5	0.005725465
967	0.004741834
966.5	0.005198629
966	0.004203582
965.5	0.004726686
965	0.004448569
964.5	0.003746403
964	0.003210767
963.5	0.001983782
963	0.001453149
962.5	0.002334521
962	0.001776688
961.5	0.001582716
961	0.002864767
960.5	0.001917622
960	0.001683722
959.5	0.002142923
959	0.002133065
958.5	0.001750269
958	0.00130344
957.5	0.002515209
957	0.001769534
956.5	0.002126344
956	0.002014769
955.5	0.002628553
955	0.002187503
954.5	0.003643895
954	0.003737262
953.5	0.004091962
953	0.004663174
952.5	0.005702861
952	0.006419363
951.5	0.007806771
951	0.008867909
950.5	0.009508429
950	0.01026975
949.5	0.010282136
949	0.007817542
948.5	0.007955994
948	0.006107789
947.5	0.005978239
947	0.003909475
946.5	0.004330833
946	0.004670142
945.5	0.003727962
945	0.003723894
944.5	0.002215406
944	0.003326628
943.5	0.003043104
943	0.003549739
942.5	0.002717255
942	0.003840443
941.5	0.004459528
941	0.004218813
940.5	0.004006785
940	0.004660196
939.5	0.006072143
939	0.004820308
938.5	0.006073147
938	0.00582884
937.5	0.007163288
937	0.007288619
936.5	0.005905943
936	0.005829786
935.5	0.005336838
935	0.005161062
934.5	0.00525086
934	0.004114333
933.5	0.002931857
933	0.003823829
932.5	0.003563934
932	0.003011051
931.5	0.002669595
931	0.003543294
930.5	0.001431543
930	0.003802752
929.5	0.002982714
929	0.001849291
928.5	0.003479986
928	0.004055113
927.5	0.002617406
927	0.002888002
926.5	0.003206064
926	0.003299896
925.5	0.00266036
925	0.001380497
924.5	0.002238581
924	0.002591901
923.5	0.002907182
923	0.002145068
922.5	0.000753248
922	0.001406494
921.5	-0.000396441
921	0.002175151
920.5	0.00258098
920	0.001866649
919.5	0.000457185
919	0.000486178
918.5	0.002109805
918	0.001158906
917.5	0.000230381
917	0.00211314
916.5	0.001178536
916	0.00180296
915.5	0.001103029
915	0.00107338
914.5	0.000675455
914	0.001593988
913.5	0.001804817
913	0.000320213
912.5	0.002131528
912	0.001104963
911.5	0.001117852
911	0.001189676
910.5	0.000840783
910	0.001502078
909.5	0.001545635
909	0.001363545
908.5	0.001543737
908	0.001531758
907.5	0.001596446
907	0.002687097
906.5	0.003938895
906	0.002173565
905.5	0.003064448
905	0.002040592
904.5	0.001577291
904	0.003825899
903.5	0.003472932
903	0.002924022
902.5	0.00274465
902	0.001544567
901.5	0.00277887
901	0.001324985
900.5	0.002245043
900	0.003138345
899.5	0.000829077
899	0.001832647
898.5	0.002891754
898	0.001765126
897.5	0.001027256
897	0.001165538
896.5	0.000936112
896	0.001229826
895.5	0.001145439
895	0.002545437
894.5	0.001341277
894	0.000361104
893.5	0.001100013
893	1.31E-05
892.5	0.001213833
892	0.001052445
891.5	0.001264778
891	0.001018564
890.5	0.002005886
890	0.000859205
889.5	0.002266112
889	0.001500518
888.5	0.002713947
888	0.002652187
887.5	0.000806195
887	0.000546279
886.5	0.000538718
886	0.003317876
885.5	0.001343787
885	0.001473713
884.5	0.001946816
884	0.001775548
883.5	0.001522918
883	0.001910725
882.5	0.001909796
882	0.001666685
881.5	0.001635414
881	0.002878468
880.5	0.0010182
880	0.001646936
879.5	0.001974568
879	0.001977323
878.5	0.002506497
878	0.000573436
877.5	0.000984153
877	0.002452376
876.5	0.001876658
876	0.003272196
875.5	0.004132302
875	0.002847867
874.5	0.00209962
874	0.001446824
873.5	0.002065019
873	0.002762144
872.5	0.000484431
872	0.001822068
871.5	0.002235163
871	0.00169456
870.5	0.000565239
870	0.001354803
869.5	0.002278207
869	0.000937363
868.5	0.000945071
868	0.000476768
867.5	0.002134067
867	0.000528131
866.5	0.000591736
866	-0.000551965
865.5	0.00072269
865	0.000903626
864.5	0.000439702
864	0.001049844
863.5	0.002421939
863	0.000979951
862.5	0.001321387
862	0.001708083
861.5	0.001472092
861	0.000835962
860.5	0.000511277
860	0.000806722
859.5	0.002254525
859	0.001757491
858.5	0.001123164
858	2.42E-05
857.5	0.000579163
857	0.001480142
856.5	0.001379439
856	0.00208756
855.5	0.001079804
855	0.002466473
854.5	0.002134663
854	0.001713961
853.5	0.001657996
853	0.001054033
852.5	0.001102073
852	0.001311358
851.5	0.000994259
851	2.27E-05
850.5	0.000638071
850	0.001045308
849.5	0.000170713
849	0.002298875
848.5	0.000546276
848	0.001597578
847.5	0.000250081
847	0.001050083
846.5	0.000497896
846	0.00086963
845.5	-0.001506413
845	0.000574094
844.5	0.001254727
844	0.000656399
843.5	0.001639175
843	-0.000318441
842.5	0.002246255
842	0.000370248
841.5	0.000834636
841	-0.000426252
840.5	0.001113846
840	0.000239341
839.5	0.000823777
839	0.000166297
838.5	0.0003779
838	0.00044343
837.5	6.79E-05
837	-7.56E-05
836.5	-0.000608623
836	0.000735549
835.5	-0.000459243
835	0.000374281
834.5	0.001399341
834	0.000986845
833.5	0.001149229
833	0.00263106
832.5	0.000351821
832	0.000599499
831.5	0.001813395
831	0.001389746
830.5	3.78E-05
830	-0.000123345
829.5	0.000210479
829	0.002018175
828.5	0.000801251
828	0.001500165
827.5	0.000306119
827	0.001879956
826.5	0.000905201
826	0.001032792
825.5	0.001363747
825	0.000512556
824.5	0.001556298
824	0.001357523
823.5	0.000193393
823	0.001438417
822.5	0.001055521
822	-1.56E-06
821.5	0.001450983
821	0.000438242
820.5	0.00138361
820	0.000998044
819.5	0.002658468
819	0.001182584
818.5	0.000493358
818	0.001213945
817.5	0.00020913
817	0.00095368
816.5	0.00015428
816	0.002281461
815.5	0.002916162
815	0.000660445
814.5	-5.73E-05
814	0.001564732
813.5	0.002373056
813	0.000580663
812.5	0.00180839
812	0.001061867
811.5	0.000654663
811	0.001009801
810.5	2.08E-05
810	0.001010713
809.5	0.001989321
809	0.001284933
808.5	0.002869543
808	0.001237687
807.5	0.001933694
807	0.001289598
806.5	0.00204361
806	0.001068908
805.5	0.000670159
805	0.00192379
804.5	0.000168195
804	0.00156301
