Typical Measured Spectrum of Semrock LL01-488 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
388.2	4.8489e-07
388.4	4.8538e-07
388.6	4.8305e-07
388.8	4.789e-07
389.0	8.2189e-07
389.2	2.3795e-06
389.4	5.7565e-07
389.6	4.6641e-07
389.8	5.5438e-07
390.0	1.097e-06
390.2	7.8794e-07
390.4	6.3422e-07
390.6	1.3913e-06
390.8	1.7319e-06
391.0	1.6726e-06
391.2	1.7025e-06
391.4	2.3719e-06
391.6	1.8842e-06
391.8	9.595e-07
392.0	4.5771e-07
392.2	7.8391e-07
392.4	1.2398e-06
392.6	1.6533e-06
392.8	1.3725e-06
393.0	1.0349e-06
393.2	6.8032e-07
393.4	4.1806e-07
393.6	4.1479e-07
393.8	6.0119e-07
394.0	8.3257e-07
394.2	8.2942e-07
394.4	1.0098e-06
394.6	8.8127e-07
394.8	4.0232e-07
395.0	3.9913e-07
395.2	3.9992e-07
395.4	4.0065e-07
395.6	3.9866e-07
395.8	3.9471e-07
396.0	3.901e-07
396.2	4.0592e-07
396.4	6.9668e-07
396.6	7.6743e-07
396.8	6.9157e-07
397.0	4.4446e-07
397.2	6.6709e-07
397.4	8.0357e-07
397.6	3.705e-07
397.8	3.6768e-07
398.0	3.6882e-07
398.2	3.6956e-07
398.4	3.6689e-07
398.6	3.6296e-07
398.8	3.587e-07
399.0	3.5514e-07
399.2	3.5219e-07
399.4	4.7689e-07
399.6	5.2921e-07
399.8	3.0543e-07
400.0	1.7628e-07
400.2	2.6462e-07
400.4	4.0307e-07
400.6	4.7323e-07
400.8	4.0157e-07
401.0	3.4076e-07
401.2	2.3884e-07
401.4	1.674e-07
401.6	1.6541e-07
401.8	1.6344e-07
402.0	1.9014e-07
402.2	2.6691e-07
402.4	3.7467e-07
402.6	4.9127e-07
402.8	6.4258e-07
403.0	7.4563e-07
403.2	8.6521e-07
403.4	8.46e-07
403.6	6.8973e-07
403.8	5.6232e-07
404.0	4.167e-07
404.2	3.0879e-07
404.4	4.3566e-07
404.6	6.1866e-07
404.8	6.0556e-07
405.0	3.7613e-07
405.2	2.3363e-07
405.4	1.8609e-07
405.6	1.486e-07
405.8	1.9327e-07
406.0	2.5138e-07
406.2	2.7396e-07
406.4	2.4461e-07
406.6	2.184e-07
406.8	1.7664e-07
407.0	1.4344e-07
407.2	1.4197e-07
407.4	1.4051e-07
407.6	1.4004e-07
407.8	1.4062e-07
408.0	1.4121e-07
408.2	1.4003e-07
408.4	1.3886e-07
408.6	3.0961e-07
408.8	6.9598e-07
409.0	8.4455e-07
409.2	4.8971e-07
409.4	2.8396e-07
409.6	1.9516e-07
409.8	1.3536e-07
410.0	2.3141e-07
410.2	3.9562e-07
410.4	4.9782e-07
410.6	4.4339e-07
410.8	3.9491e-07
411.0	6.4549e-07
411.2	1.0344e-06
411.4	4.5142e-07
411.6	1.9701e-07
411.8	1.6064e-07
412.0	2.5782e-07
412.2	4.1378e-07
412.4	2.3134e-07
412.6	1.2934e-07
412.8	1.2698e-07
413.0	1.2575e-07
413.2	1.255e-07
413.4	1.2644e-07
413.6	1.274e-07
413.8	1.2652e-07
414.0	1.2565e-07
414.2	1.2454e-07
414.4	1.2344e-07
414.6	1.2323e-07
414.8	1.2404e-07
415.0	1.2486e-07
415.2	1.2413e-07
415.4	1.234e-07
415.6	1.2241e-07
415.8	1.2142e-07
416.0	1.5264e-07
416.2	2.5062e-07
416.4	4.1148e-07
416.6	2.2205e-07
416.8	1.2235e-07
417.0	1.872e-07
417.2	2.8644e-07
417.4	3.3904e-07
417.6	3.072e-07
417.8	2.7836e-07
418.0	1.8237e-07
418.2	1.1949e-07
418.4	1.539e-07
418.6	2.0028e-07
418.8	2.349e-07
419.0	2.4261e-07
419.2	2.5058e-07
419.4	2.9552e-07
419.6	3.4853e-07
419.8	2.9383e-07
420.0	2.4772e-07
420.2	2.5389e-07
420.4	3.2577e-07
420.6	4.1799e-07
420.8	4.3629e-07
421.0	4.5403e-07
421.2	2.5994e-07
421.4	1.4882e-07
421.6	1.3221e-07
421.8	1.9275e-07
422.0	2.8102e-07
422.2	1.767e-07
422.4	1.1162e-07
422.6	1.105e-07
422.8	1.094e-07
423.0	1.1745e-07
423.2	1.3791e-07
423.4	1.6193e-07
423.6	2.9986e-07
423.8	5.4841e-07
424.0	4.4381e-07
424.2	3.5916e-07
424.4	3.2264e-07
424.6	3.2381e-07
424.8	3.2498e-07
425.0	4.2172e-07
425.2	5.4239e-07
425.4	4.9215e-07
425.6	4.4657e-07
425.8	5.0196e-07
426.0	7.0509e-07
426.2	9.9043e-07
426.4	1.0352e-06
426.6	1.0819e-06
426.8	1.0707e-06
427.0	1.059e-06
427.2	8.9898e-07
427.4	6.3548e-07
427.6	4.4921e-07
427.8	3.8033e-07
428.0	3.2201e-07
428.2	2.0676e-07
428.4	1.3258e-07
428.6	1.424e-07
428.8	2.7689e-07
429.0	5.3839e-07
429.2	4.1414e-07
429.4	3.1828e-07
429.6	2.0442e-07
429.8	1.3129e-07
430.0	1.1285e-07
430.2	1.3471e-07
430.4	1.6082e-07
430.6	1.3031e-07
430.8	1.058e-07
431.0	1.0485e-07
431.2	1.039e-07
431.4	1.0424e-07
431.6	1.0603e-07
431.8	1.0785e-07
432.0	1.0659e-07
432.2	1.0534e-07
432.4	1.0442e-07
432.6	1.0349e-07
432.8	1.2605e-07
433.0	1.9192e-07
433.2	2.9221e-07
433.4	2.9273e-07
433.6	2.9369e-07
433.8	3.4168e-07
434.0	3.9751e-07
434.2	3.1283e-07
434.4	2.1383e-07
434.6	1.3878e-07
434.8	7.5355e-08
435.0	4.0917e-08
435.2	3.2685e-08
435.4	3.2596e-08
435.6	3.2509e-08
435.8	3.2428e-08
436.0	3.2348e-08
436.2	4.351e-08
436.4	7.3328e-08
436.6	8.9586e-08
436.8	7.6147e-08
437.0	6.4724e-08
437.2	8.9825e-08
437.4	1.2862e-07
437.6	1.167e-07
437.8	5.4168e-08
438.0	3.1752e-08
438.2	3.1679e-08
438.4	3.1606e-08
438.6	3.8988e-08
438.8	5.1151e-08
439.0	6.5868e-08
439.2	8.0081e-08
439.4	8.6615e-08
439.6	5.5967e-08
439.8	3.6163e-08
440.0	3.1058e-08
440.2	3.0987e-08
440.4	3.092e-08
440.6	3.0883e-08
440.8	3.0845e-08
441.0	3.0773e-08
441.2	3.0701e-08
441.4	3.063e-08
441.6	3.056e-08
441.8	3.049e-08
442.0	3.0436e-08
442.2	3.0383e-08
442.4	3.0308e-08
442.6	3.0229e-08
442.8	3.015e-08
443.0	3.007e-08
443.2	2.999e-08
443.4	5.119e-08
443.6	9.9115e-08
443.8	8.0778e-08
444.0	4.6628e-08
444.2	2.9699e-08
444.4	2.962e-08
444.6	2.9541e-08
444.8	4.534e-08
445.0	8.7773e-08
445.2	8.6812e-08
445.4	5.0113e-08
445.6	2.9699e-08
445.8	6.3909e-08
446.0	1.3752e-07
446.2	1.2873e-07
446.4	5.0663e-08
446.6	2.8918e-08
446.8	2.883e-08
447.0	2.8742e-08
447.2	4.1736e-08
447.4	6.4268e-08
447.6	7.1527e-08
447.8	4.1788e-08
448.0	3.4788e-08
448.2	7.0419e-08
448.4	1.4255e-07
448.6	9.9025e-08
448.8	4.862e-08
449.0	2.8006e-08
449.2	2.7964e-08
449.4	2.7916e-08
449.6	2.7828e-08
449.8	2.7742e-08
450.0	2.765e-08
450.2	2.7556e-08
450.4	2.7465e-08
450.6	2.7418e-08
450.8	2.7372e-08
451.0	5.0738e-08
451.2	9.5552e-08
451.4	1.3557e-07
451.6	1.3512e-07
451.8	1.3467e-07
452.0	6.6439e-08
