Typical Measured Spectrum of Semrock FF01-537/26 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
337.0	1.373e-07
337.2	1.0157e-07
337.4	7.514e-08
337.6	5.5588e-08
337.8	4.1123e-08
338.0	3.5472e-08
338.2	3.8163e-08
338.4	4.1058e-08
338.6	4.4174e-08
338.8	4.7525e-08
339.0	5.1131e-08
339.2	5.501e-08
339.4	5.9184e-08
339.6	6.3674e-08
339.8	6.8505e-08
340.0	7.4982e-08
340.2	9.2578e-08
340.4	1.143e-07
340.6	1.4113e-07
340.8	1.7424e-07
341.0	2.1513e-07
341.2	2.6562e-07
341.4	3.2795e-07
341.6	4.0491e-07
341.8	4.9993e-07
342.0	4.651e-07
342.2	4.2074e-07
342.4	3.8062e-07
342.6	3.4432e-07
342.8	3.1149e-07
343.0	2.8178e-07
343.2	2.5491e-07
343.4	2.306e-07
343.6	2.0861e-07
343.8	1.8872e-07
344.0	1.9997e-07
344.2	2.2368e-07
344.4	2.5019e-07
344.6	2.7985e-07
344.8	3.1303e-07
345.0	3.5014e-07
345.2	3.9165e-07
345.4	4.3808e-07
345.6	4.9002e-07
345.8	5.4811e-07
346.0	5.5278e-07
346.2	5.18e-07
346.4	4.8541e-07
346.6	4.5488e-07
346.8	4.2626e-07
347.0	3.9944e-07
347.2	3.7432e-07
347.4	3.5077e-07
347.6	3.287e-07
347.8	3.0802e-07
348.0	3.0202e-07
348.2	3.1484e-07
348.4	3.2821e-07
348.6	3.4215e-07
348.8	3.5668e-07
349.0	3.7182e-07
349.2	3.8761e-07
349.4	4.0407e-07
349.6	4.2123e-07
349.8	4.3911e-07
350.0	4.5483e-07
350.2	4.5209e-07
350.4	4.4937e-07
350.6	4.4666e-07
350.8	4.4397e-07
351.0	4.413e-07
351.2	4.3864e-07
351.4	4.36e-07
351.6	4.3338e-07
351.8	4.3077e-07
352.0	3.9651e-07
352.2	3.6099e-07
352.4	3.2865e-07
352.6	2.9921e-07
352.8	2.724e-07
353.0	2.48e-07
353.2	2.2578e-07
353.4	2.0555e-07
353.6	1.8714e-07
353.8	1.7038e-07
354.0	1.5777e-07
354.2	1.4706e-07
354.4	1.3708e-07
354.6	1.2777e-07
354.8	1.191e-07
355.0	1.1101e-07
355.2	1.0348e-07
355.4	9.6454e-08
355.6	8.9907e-08
355.8	8.3804e-08
356.0	9.0959e-08
356.2	1.11e-07
356.4	1.3546e-07
356.6	1.6531e-07
356.8	2.0173e-07
357.0	2.4618e-07
357.2	3.0043e-07
357.4	3.6663e-07
357.6	4.4741e-07
357.8	5.46e-07
358.0	6.0366e-07
358.2	5.8069e-07
358.4	5.5859e-07
358.6	5.3734e-07
358.8	5.1689e-07
359.0	4.9722e-07
359.2	4.783e-07
359.4	4.6011e-07
359.6	4.426e-07
359.8	4.2576e-07
360.0	4.1441e-07
360.2	4.3641e-07
360.4	4.5959e-07
360.6	4.8399e-07
360.8	5.0969e-07
361.0	5.3676e-07
361.2	5.6526e-07
361.4	5.9528e-07
361.6	6.2689e-07
361.8	6.6018e-07
362.0	6.1164e-07
362.2	5.5821e-07
362.4	5.0944e-07
362.6	4.6494e-07
362.8	4.2433e-07
363.0	3.8726e-07
363.2	3.5343e-07
363.4	3.2255e-07
363.6	2.9438e-07
363.8	2.6866e-07
364.0	2.8131e-07
364.2	3.0873e-07
364.4	3.3883e-07
364.6	3.7186e-07
364.8	4.0811e-07
365.0	4.479e-07
365.2	4.9156e-07
365.4	5.3948e-07
365.6	5.9207e-07
365.8	6.4979e-07
366.0	6.7709e-07
366.2	6.8106e-07
366.4	6.8505e-07
366.6	6.8907e-07
366.8	6.931e-07
367.0	6.9717e-07
367.2	7.0125e-07
367.4	7.0536e-07
367.6	7.095e-07
367.8	7.1366e-07
368.0	6.8548e-07
368.2	6.2233e-07
368.4	5.65e-07
368.6	5.1295e-07
368.8	4.657e-07
369.0	4.228e-07
369.2	3.8385e-07
369.4	3.4849e-07
369.6	3.1638e-07
369.8	2.8724e-07
370.0	2.683e-07
370.2	2.9263e-07
370.4	3.1917e-07
370.6	3.4811e-07
370.8	3.7968e-07
371.0	4.1411e-07
371.2	4.5166e-07
371.4	4.9262e-07
371.6	5.3729e-07
371.8	5.8601e-07
372.0	5.9761e-07
372.2	6.0308e-07
372.4	6.086e-07
372.6	6.1418e-07
372.8	6.198e-07
373.0	6.2547e-07
373.2	6.312e-07
373.4	6.3698e-07
373.6	6.4281e-07
373.8	6.487e-07
374.0	6.9779e-07
374.2	7.6898e-07
374.4	8.4745e-07
374.6	9.3392e-07
374.8	1.0292e-06
375.0	1.1342e-06
375.2	1.25e-06
375.4	1.3775e-06
375.6	1.5181e-06
375.8	1.673e-06
376.0	1.6198e-06
376.2	1.4279e-06
376.4	1.2588e-06
376.6	1.1097e-06
376.8	9.7828e-07
377.0	8.6241e-07
377.2	7.6027e-07
377.4	6.7022e-07
377.6	5.9084e-07
377.8	5.2086e-07
378.0	4.7286e-07
378.2	4.4562e-07
378.4	4.1995e-07
378.6	3.9576e-07
378.8	3.7297e-07
379.0	3.5148e-07
379.2	3.3124e-07
379.4	3.1216e-07
379.6	2.9418e-07
379.8	2.7723e-07
380.0	2.6678e-07
380.2	2.8902e-07
380.4	3.131e-07
380.6	3.392e-07
380.8	3.6747e-07
381.0	3.9809e-07
381.2	4.3127e-07
381.4	4.6721e-07
381.6	5.0614e-07
381.8	5.4832e-07
382.0	5.4456e-07
382.2	5.3322e-07
382.4	5.2211e-07
382.6	5.1124e-07
382.8	5.006e-07
383.0	4.9017e-07
383.2	4.7997e-07
383.4	4.6997e-07
383.6	4.6019e-07
383.8	4.506e-07
384.0	4.4122e-07
384.2	4.3203e-07
384.4	4.2304e-07
384.6	4.2758e-07
384.8	4.3442e-07
385.0	4.4136e-07
385.2	4.4841e-07
385.4	4.5558e-07
385.6	4.6286e-07
385.8	4.7026e-07
386.0	4.7778e-07
386.2	4.8541e-07
386.4	4.8001e-07
386.6	4.3358e-07
386.8	3.9165e-07
387.0	3.5377e-07
387.2	3.1955e-07
387.4	2.8864e-07
387.6	2.6073e-07
387.8	2.3551e-07
388.0	2.1273e-07
388.2	1.9216e-07
388.4	1.7606e-07
388.6	1.8481e-07
388.8	1.9398e-07
389.0	2.0361e-07
389.2	2.1372e-07
389.4	2.2433e-07
389.6	2.3547e-07
389.8	2.4716e-07
390.0	2.5943e-07
390.2	2.723e-07
390.4	2.8582e-07
390.6	2.8691e-07
390.8	2.8753e-07
391.0	2.8816e-07
391.2	2.8878e-07
391.4	2.8941e-07
391.6	2.9004e-07
391.8	2.9067e-07
392.0	2.913e-07
392.2	2.9193e-07
392.4	2.9257e-07
392.6	2.932e-07
392.8	2.9384e-07
393.0	2.7749e-07
393.2	2.4539e-07
393.4	2.17e-07
393.6	1.919e-07
393.8	1.697e-07
394.0	1.5007e-07
394.2	1.3271e-07
394.4	1.1735e-07
394.6	1.0378e-07
394.8	9.1773e-08
395.0	4.4313e-07
395.2	3.0209e-07
395.4	2.1312e-07
395.6	2.1016e-07
395.8	2.0818e-07
396.0	2.0674e-07
396.2	2.5908e-07
396.4	3.5234e-07
396.6	5.3792e-07
396.8	3.5133e-07
397.0	2.0334e-07
397.2	2.0146e-07
397.4	2.0009e-07
397.6	3.282e-07
397.8	4.4414e-07
398.0	2.4974e-07
398.2	1.9946e-07
398.4	2.4007e-07
398.6	3.7128e-07
398.8	2.1314e-07
399.0	1.9613e-07
399.2	1.9769e-07
399.4	1.9573e-07
399.6	4.8243e-07
399.8	9.3281e-07
400.0	5.4939e-07
400.2	3.9626e-07
400.4	2.508e-07
400.6	1.6337e-07
400.8	1.2083e-07
401.0	9.001e-08
401.2	8.8831e-08
401.4	8.7668e-08
401.6	1.1482e-07
401.8	2.007e-07
402.0	3.5083e-07
402.2	1.7433e-07
402.4	8.6623e-08
402.6	8.5461e-08
402.8	8.4315e-08
403.0	9.1308e-08
403.2	1.0983e-07
403.4	1.3212e-07
403.6	2.5826e-07
403.8	4.9441e-07
404.0	2.4015e-07
404.2	1.1665e-07
404.4	8.7616e-08
404.6	1.0454e-07
404.8	1.2473e-07
405.0	2.4411e-07
405.2	4.7774e-07
405.4	4.0517e-07
405.6	3.4074e-07
405.8	2.5721e-07
406.0	1.7104e-07
406.2	1.1373e-07
406.4	9.3686e-08
406.6	7.7314e-08
406.8	7.6377e-08
407.0	7.5451e-08
407.2	7.5344e-08
407.4	7.6119e-08
407.6	7.6903e-08
407.8	7.595e-08
408.0	7.5009e-08
408.2	7.4084e-08
408.4	7.3169e-08
408.6	1.03e-07
408.8	2.0964e-07
409.0	4.267e-07
409.2	3.531e-07
409.4	2.922e-07
409.6	1.6711e-07
409.8	9.539e-08
410.0	7.6194e-08
410.2	8.9581e-08
410.4	1.0532e-07
410.6	1.9457e-07
410.8	3.5415e-07
411.0	2.4331e-07
411.2	1.6716e-07
411.4	1.4798e-07
411.6	1.7146e-07
411.8	1.9866e-07
412.0	2.3464e-07
412.2	2.7713e-07
412.4	1.6013e-07
412.6	9.152e-08
412.8	7.8487e-08
413.0	1.0944e-07
413.2	1.5259e-07
413.4	1.0199e-07
413.6	6.8163e-08
413.8	8.8747e-08
414.0	1.1555e-07
414.2	1.3124e-07
414.4	1.2817e-07
414.6	1.2518e-07
414.8	9.1644e-08
415.0	6.8239e-08
415.2	1.1668e-07
415.4	1.995e-07
415.6	2.1347e-07
415.8	1.4023e-07
416.0	9.2114e-08
416.2	1.5672e-07
416.4	2.6663e-07
416.6	3.0984e-07
416.8	3.5935e-07
417.0	3.713e-07
417.2	3.3588e-07
417.4	3.0384e-07
417.6	1.4108e-07
417.8	6.575e-08
418.0	6.4918e-08
418.2	6.4096e-08
418.4	6.5475e-08
418.6	6.9396e-08
418.8	7.3551e-08
419.0	9.7196e-08
419.2	1.2844e-07
419.4	9.7241e-08
419.6	7.2997e-08
419.8	6.2951e-08
420.0	6.4102e-08
420.2	6.5273e-08
420.4	6.4244e-08
420.6	6.3232e-08
420.8	6.2474e-08
421.0	6.1726e-08
421.2	6.8274e-08
421.4	8.5769e-08
421.6	1.0775e-07
421.8	2.1878e-07
422.0	4.312e-07
422.2	1.9723e-07
422.4	9.0211e-08
422.6	6.2471e-08
422.8	6.6618e-08
423.0	7.1039e-08
423.2	9.368e-08
423.4	1.2354e-07
423.6	1.7532e-07
423.8	2.4891e-07
424.0	2.895e-07
424.2	2.6891e-07
424.4	2.4978e-07
424.6	1.2292e-07
424.8	6.1122e-08
425.0	6.0457e-08
425.2	5.98e-08
425.4	6.0139e-08
425.6	6.1534e-08
425.8	6.296e-08
426.0	6.1881e-08
426.2	6.0819e-08
426.4	9.2546e-08
426.6	1.4145e-07
426.8	1.9583e-07
427.0	2.4196e-07
427.2	2.9897e-07
427.4	1.3387e-07
427.6	6.0906e-08
427.8	7.926e-08
428.0	1.0314e-07
428.2	1.3585e-07
428.4	1.8121e-07
428.6	2.4172e-07
428.8	2.1025e-07
429.0	1.8289e-07
429.2	2.3649e-07
429.4	3.0704e-07
429.6	3.4298e-07
429.8	3.2115e-07
430.0	3.007e-07
430.2	2.695e-07
430.4	2.4045e-07
430.6	1.3741e-07
430.8	7.8522e-08
431.0	7.621e-08
431.2	1.2981e-07
431.4	2.2109e-07
431.6	1.1584e-07
431.8	6.0693e-08
432.0	9.1836e-08
432.2	1.4046e-07
432.4	1.4616e-07
432.6	9.6782e-08
432.8	6.4086e-08
433.0	6.2491e-08
433.2	6.1378e-08
433.4	1.2327e-07
433.6	2.4758e-07
433.8	1.775e-07
434.0	8.8614e-08
434.2	1.1267e-07
434.4	3.7176e-07
434.6	3.9385e-07
434.8	1.0995e-07
435.0	3.0693e-08
435.2	2.2897e-08
435.4	3.0053e-08
435.6	3.7138e-08
435.8	2.8177e-08
436.0	2.1379e-08
436.2	3.5993e-08
436.4	1.0793e-07
436.6	1.2199e-07
436.8	4.8935e-08
437.0	1.963e-08
437.2	1.8889e-08
437.4	1.8851e-08
437.6	2.3473e-08
437.8	3.9193e-08
438.0	5.9777e-08
438.2	7.3048e-08
438.4	8.9265e-08
438.6	5.7447e-08
438.8	3.036e-08
439.0	1.8635e-08
439.2	1.8615e-08
439.4	1.8593e-08
439.6	1.8558e-08
439.8	1.8523e-08
440.0	2.1909e-08
440.2	2.8757e-08
440.4	3.5748e-08
440.6	2.565e-08
440.8	1.8405e-08
441.0	2.4105e-08
441.2	3.1668e-08
441.4	3.9422e-08
441.6	4.6185e-08
441.8	5.4109e-08
442.0	5.4585e-08
442.2	5.4541e-08
442.4	5.4432e-08
442.6	5.431e-08
442.8	6.1245e-08
443.0	9.0133e-08
443.2	1.3264e-07
443.4	1.367e-07
443.6	1.2815e-07
443.8	1.2541e-07
444.0	1.2513e-07
444.2	1.2485e-07
444.4	1.246e-07
444.6	1.2434e-07
444.8	1.185e-07
445.0	1.0998e-07
445.2	1.0209e-07
445.4	9.4763e-08
445.6	8.8061e-08
445.8	8.7852e-08
446.0	8.7643e-08
446.2	7.7654e-08
446.4	6.0811e-08
446.6	5.664e-08
446.8	6.9196e-08
447.0	8.4534e-08
447.2	9.7254e-08
447.4	1.1084e-07
447.6	8.7522e-08
447.8	3.3893e-08
448.0	1.7188e-08
448.2	1.7145e-08
448.4	1.7103e-08
448.6	1.7065e-08
448.8	1.7028e-08
449.0	2.0956e-08
449.2	5.2049e-08
449.4	1.1854e-07
449.6	1.1821e-07
449.8	1.1788e-07
450.0	7.6054e-08
450.2	3.5093e-08
450.4	1.7498e-08
450.6	5.6109e-08
450.8	1.7992e-07
451.0	9.3864e-08
451.2	4.7634e-08
451.4	3.5507e-08
451.6	4.1567e-08
451.8	4.8661e-08
452.0	3.0492e-08
452.2	1.8229e-08
452.4	1.6326e-08
452.6	1.6281e-08
452.8	1.9593e-08
453.0	3.9718e-08
453.2	8.0514e-08
453.4	9.6654e-08
453.6	9.6521e-08
453.8	5.928e-08
454.0	2.9116e-08
454.2	1.7816e-08
454.4	3.6132e-08
454.6	7.3281e-08
454.8	9.0181e-08
455.0	8.2757e-08
455.2	7.1676e-08
455.4	5.8381e-08
455.6	4.7552e-08
455.8	5.2447e-08
456.0	5.8582e-08
456.2	4.6478e-08
456.4	2.3647e-08
456.6	2.0825e-08
456.8	4.4894e-08
457.0	9.678e-08
457.2	5.5842e-08
457.4	2.5767e-08
457.6	1.5339e-08
457.8	1.5317e-08
458.0	1.9112e-08
458.2	4.9257e-08
458.4	1.2695e-07
458.6	1.2547e-07
458.8	8.3834e-08
459.0	5.3553e-08
459.2	2.8068e-08
459.4	1.5191e-08
459.6	1.9936e-08
459.8	2.6164e-08
460.0	3.727e-08
460.2	5.7443e-08
460.4	8.8534e-08
460.6	8.1571e-08
460.8	7.4569e-08
461.0	4.0966e-08
461.2	2.1595e-08
461.4	1.6397e-08
461.6	2.1524e-08
461.8	2.8255e-08
462.0	4.6153e-08
462.2	7.7783e-08
462.4	5.0366e-08
462.6	2.4704e-08
462.8	1.5497e-08
463.0	2.0335e-08
463.2	2.6682e-08
463.4	4.8292e-08
463.6	9.8742e-08
463.8	1.166e-07
464.0	9.9047e-08
464.2	7.9639e-08
464.4	3.906e-08
464.6	1.9158e-08
464.8	1.4144e-08
465.0	1.413e-08
465.2	1.4104e-08
465.4	1.4068e-08
465.6	1.4031e-08
465.8	2.5669e-08
466.0	4.8484e-08
466.2	6.962e-08
466.4	6.9513e-08
466.6	5.6556e-08
466.8	2.978e-08
467.0	1.5681e-08
467.2	2.2923e-08
467.4	4.3254e-08
467.6	6.8515e-08
467.8	6.8422e-08
468.0	6.9162e-08
468.2	7.4174e-08
468.4	7.9549e-08
468.6	7.3303e-08
468.8	6.2247e-08
469.0	5.5242e-08
469.2	6.6753e-08
469.4	8.0533e-08
469.6	8.9855e-08
469.8	1.0026e-07
470.0	8.0613e-08
470.2	4.6403e-08
470.4	2.6711e-08
470.6	3.1725e-08
470.8	3.8533e-08
471.0	2.6293e-08
471.2	1.6946e-08
471.4	1.7073e-08
471.6	3.4591e-08
471.8	7.0084e-08
472.0	7.6952e-08
472.2	7.679e-08
472.4	8.0638e-08
472.6	8.5446e-08
472.8	6.9051e-08
473.0	3.1787e-08
473.2	1.4633e-08
473.4	1.2558e-08
473.6	1.2533e-08
473.8	2.0036e-08
474.0	3.7801e-08
474.2	6.2968e-08
474.4	6.7465e-08
474.6	7.2283e-08
