Wavelength	UHP-F-470
679.5	0.000150327
680	0.000224321
680.5	0.000275375
681	0.000446704
681.5	0.00057718
682	0.000598275
682.5	0.000626582
683	0.000655678
683.5	0.00057224
684	0.000511897
684.5	0.000548448
685	0.000493287
685.5	0.000398605
686	0.000110257
686.5	0
687	0
687.5	0
688	0
688.5	0
689	0
689.5	0
690	0
690.5	0
691	0
691.5	0
692	0
692.5	0
693	0
693.5	0
694	0
694.5	0
695	0
695.5	0
696	6.59523E-05
696.5	0.000123965
697	0.000160692
697.5	0.000153976
698	0.000183727
698.5	0.000189803
699	0.000108029
699.5	0.000165302
700	0.000168327
700.5	8.72437E-05
701	0
701.5	0
702	0
702.5	0
703	0
703.5	0
704	0
704.5	0
705	0
705.5	0
706	0
706.5	0
707	0
707.5	0
708	0
708.5	0
709	0
709.5	0
710	0
710.5	0
711	0
711.5	0
712	0
712.5	0
713	0
713.5	0
714	0
714.5	0
715	0
715.5	0
716	0
716.5	0
717	0
717.5	0
718	0
718.5	0
719	1.39175E-05
719.5	0.000157925
720	0.000283928
720.5	0.000270153
721	0.000209561
721.5	0.000233047
722	0.000132145
722.5	0.000100046
723	0
723.5	0
724	0
724.5	0
725	0
725.5	0
726	0
726.5	0
727	0
727.5	0
728	0
728.5	0
729	0
729.5	0
730	0.000114166
730.5	0.000171852
731	3.19587E-05
731.5	0
732	0
732.5	0
733	0
733.5	7.79482E-05
734	0.000197862
734.5	0.000314106
735	0.00040406
735.5	0.000483104
736	0.000584727
736.5	0.000602427
737	0.000621642
737.5	0.000519352
738	0.0004257
738.5	0.000287768
739	0.000151091
739.5	0.000121916
740	0.00013343
740.5	0.000229286
741	0.000182093
741.5	0.000171012
742	0.00010418
742.5	0
743	0
743.5	0
744	0
744.5	0
745	0
745.5	0
746	0
746.5	0
747	0
747.5	0
748	0
748.5	0
749	0
749.5	0
750	0
750.5	0
751	0
751.5	0
752	0
752.5	0
753	0
753.5	6.34458E-05
754	0.000262515
754.5	0.0003873
755	0.00035287
755.5	0.000362478
756	0.000482589
756.5	0.000530627
757	0.000479103
757.5	0.000425428
758	0.000250177
758.5	0.000141965
759	5.94724E-05
759.5	0
760	2.88491E-05
760.5	5.03587E-05
761	7.04409E-05
761.5	0.000175765
762	0.000184272
762.5	0.000314864
763	0.00049162
763.5	0.000616126
764	0.000775486
764.5	0.000809916
765	0.000728084
765.5	0.000574453
766	0.000454766
766.5	0.000497531
767	0.000430944
767.5	0.000197999
768	3.37996E-06
768.5	0
769	0
769.5	0
770	6.03695E-05
770.5	0.000128369
771	0.000100952
771.5	3.57654E-05
772	8.84318E-05
772.5	5.62597E-05
773	0
773.5	0
774	0
774.5	0
775	0
775.5	0
776	0
776.5	0
777	0
777.5	0
778	0
778.5	0
779	0
779.5	0
780	0
780.5	0
781	0.000101155
781.5	0.000220699
782	0.000148945
782.5	0.000108193
783	0.000195592
783.5	0.000157555
784	0.000125553
784.5	0.000100837
785	5.16923E-05
785.5	0
786	0
786.5	6.05847E-05
787	0.000227946
787.5	0.000301619
788	0.000371903
788.5	0.00035781
789	0.000276415
789.5	0.000306862
790	0.00030662
790.5	0.000243282
791	0.000185172
791.5	0.000146396
