Wavelength (nm)	%T
474.2	0.4028
474.5	0.4043
474.8	0.4066
475	0.4098
475.2	0.4138
475.5	0.4186
475.8	0.4243
476	0.4309
476.2	0.4385
476.5	0.447
476.8	0.4566
477	0.4673
477.2	0.4791
477.5	0.4923
477.8	0.5068
478	0.5229
478.2	0.5407
478.5	0.5603
478.8	0.5821
479	0.6062
479.2	0.6332
479.5	0.6635
479.8	0.6976
480	0.7364
480.2	0.781
480.5	0.8327
480.8	0.893
481	0.9636
481.2	1.0454
481.5	1.1372
481.8	1.2334
482	1.3239
482.2	1.3981
482.5	1.4531
482.8	1.4959
483	1.5371
483.2	1.5854
483.5	1.6456
483.8	1.7199
484	1.8091
484.2	1.9138
484.5	2.0345
484.8	2.1721
485	2.3279
485.2	2.5033
485.5	2.7003
485.8	2.9212
486	3.1687
486.2	3.4459
486.5	3.7566
486.8	4.1049
487	4.4957
487.2	4.9344
487.5	5.4272
487.8	5.9811
488	6.604
488.2	7.3046
488.5	8.0923
488.8	8.9775
489	9.9711
489.2	11.0844
489.5	12.3286
489.8	13.7144
490	15.2508
490.2	16.9442
490.5	18.797
490.8	20.8059
491	22.9605
491.2	25.2413
491.5	27.6191
491.8	30.0543
492	32.4983
492.2	34.8957
492.5	37.188
492.8	39.319
493	41.239
493.2	42.9101
493.5	44.3088
493.8	45.427
494	46.2715
494.2	46.8613
494.5	47.2245
494.8	47.3945
495	47.4068
495.2	47.2962
495.5	47.0955
495.8	46.8336
496	46.5354
496.2	46.2218
496.5	45.9096
496.8	45.612
497	45.3392
497.2	45.0988
497.5	44.8961
497.8	44.7347
498	44.6168
498.2	44.5433
498.5	44.5143
498.8	44.5292
499	44.5868
499.2	44.6855
499.5	44.8234
499.8	44.9983
500	45.2078
500.2	45.4267
500.5	45.6712
500.8	45.9396
501	46.23
501.2	46.5408
501.5	46.8705
501.8	47.218
502	47.5824
502.2	47.9633
502.5	48.3607
502.8	48.7754
503	49.2088
503.2	49.6632
503.5	50.1419
503.8	50.6495
504	51.1921
504.2	51.7771
504.5	52.4141
504.8	53.1148
