Wavelength_nm	Excitation	Emission
585	0	0.13032632
586	0	0.12483501
587	0	0.1184443
588	0	0.11200126
589	0	0.10828497
590	0	0.10372095
591	0	0.099504406
592	0	0.095232822
593	0	0.091256291
594	0	0.086938914
595	0	0.084317026
596	0	0.081963609
597	0	0.078680936
598	0	0.075598761
599	0	0.073595443
600	0	0.069614057
601	0	0.06723734
602	0	0.064566503
603	0	0.062783265
604	0	0.059955671
605	0	0.059812077
606	0	0.056592616
607	0	0.054608085
608	0	0.052583885
609	0	0.051661412
610	0	0.049209936
611	0	0.046954579
612	0	0.045577165
613	0	0.044244856
614	0	0.04316794
615	0	0.041808442
616	0	0.039553084
617	0	0.038556329
618	0	0.037726064
619	0	0.036389872
620	0	0.03580723
621	0	0.033133423
622	0	0.032126289
623	0	0.03095331
624	0	0.02948021
625	0	0.028940158
626	0	0.027569924
627	0	0.026946617
628	0	0.025760648
629	0	0.024295102
630	0	0.023804807
631	0	0.022517418
632	0	0.022210425
633	0	0.021243505
634	0	0.020919075
635	0	0.019227412
636	0	0.018797855
637	0	0.018654747
638	0	0.017679808
639	0	0.016891646
640	0	0.016303292
641	0	0.015907173
642	0	0.014922815
643	0	0.014903009
644	0	0.01414246
645	0	0.013450756
646	0	0.01288478
647	0	0.012553515
648	0	0.011614226
649	0	0.011990657
650	0	0.011402303
651	0	0.010902202
652	0	0.010702161
653	0	0.010802181
654	0	0.0099019994
655	0	0.0094018985
656	0	0.009201858
657	0	0.0084016965
658	0	0.0090018177
659	0	0.0087017571
660	0	0.0086017369
661	0	0.0078094977
662	0	0.0078015753
663	0	0.007417184
664	0	0.0074965632
665	0	0.0068494222
666	0	0.0069598212
667	0	0.0063012723
668	0	0.0063042432
669	0	0.006395409
670	0	0.006101232
671	0	0.0063012723
672	0	0.0059011916
673	0	0.0055011108
674	0	0.0057011512
675	0	0.0049009897
676	0	0.0059011916
677	0	0.00510103
678	0	0.0050010099
679	0	0.0049009897
680	0	0.004600929
681	0	0.0049009897
682	0	0.0040008078
683	0	0.0043008685
684	0	0.0041008281
685	0	0.0039007876
686	0	0.0040008078
687	0	0.0034006867
688	0	0.0037007473
689	0	0.0035007069
690	0	0.0036007271
691	0	0.0035067687
692	0	0.0037977056
693	0	0.0036855927
694	0	0.0033847543
695	0	0.0031192139
696	0	0.0034802946
697	0	0.0038846228
698	0	0.0034108929
699	0	0.0029056372
700	0	0.0031006261
701	0	0
702	0	0
703	0	0
704	0	0
705	0	0
706	0	0
707	0	0
708	0	0
709	0	0
710	0	0
711	0	0
712	0	0
713	0	0
714	0	0
715	0	0
716	0	0
717	0	0
718	0	0
719	0	0
720	0	0
721	0	0
722	0	0
723	0	0
724	0	0
725	0	0
726	0	0
727	0	0
728	0	0
729	0	0
730	0	0
731	0	0
732	0	0
733	0	0
734	0	0
735	0	0
736	0	0
737	0	0
738	0	0
739	0	0
